Data,JzCode,FullName,TableColumns
rq_data_futures_daily_2015,JZ2000019,2015 rq_data期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
rq_data_futures_daily_2016,JZ2000020,2016 rq_data期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
rq_data_futures_daily_2017,JZ2000021,2017 rq_data期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
rq_data_futures_daily_2018,JZ2000022,2018 rq_data期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
rq_data_futures_daily_2019,JZ2000023,2019 rq_data期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
rq_data_futures_daily_2020,JZ2000024,2020 rq_data期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
rq_data_futures_daily_2021,JZ2000025,2021 rq_data期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
rq_data_futures_daily_2022,JZ2000026,2022 rq_data期货日数据,"Code,Exchange,TradeDate,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,SettlePrice,PreSettlePrice,Product"
jz_futures_1m_2010,JZ2000027,2010 jz期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
jz_futures_1m_2011,JZ2000028,2011 jz期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
jz_futures_1m_2012,JZ2000029,2012 jz期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
jz_futures_1m_2013,JZ2000030,2013 jz期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
jz_futures_1m_2014,JZ2000031,2014 jz期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
jz_futures_1m_2015,JZ2000032,2015 jz期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
jz_futures_1m_2016,JZ2000033,2016 jz期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
jz_futures_1m_2017,JZ2000034,2017 jz期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
jz_futures_1m_2018,JZ2000035,2018 jz期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
jz_futures_1m_2019,JZ2000036,2019 jz期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
jz_futures_1m_2020,JZ2000037,2020 jz期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
jz_futures_1m_2021,JZ2000038,2021 jz期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
jz_futures_1m_2022,JZ2000039,2022 jz期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
rq_data_futures_1m_2010,JZ2000040,2010 rq_data期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
rq_data_futures_1m_2011,JZ2000041,2011 rq_data期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
rq_data_futures_1m_2012,JZ2000042,2012 rq_data期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
rq_data_futures_1m_2013,JZ2000043,2013 rq_data期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
rq_data_futures_1m_2014,JZ2000044,2014 rq_data期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
rq_data_futures_1m_2015,JZ2000045,2015 rq_data期货分钟数据,"Code,Exchange,TradeDate,TradeTime,OpenPrice,HighPrice,LowPrice,ClosePrice,TradeVolume,OpenInterest,Turnover,Product"
